date,T익스프레스,사파리월드,로스트밸리,isPartial
2018-12-09,0,0,20,False
2018-12-16,0,0,0,False
2018-12-23,30,0,0,False
2018-12-30,0,0,0,False
2019-01-06,0,0,0,False
2019-01-13,0,0,31,False
2019-01-20,0,0,0,False
2019-01-27,44,0,39,False
2019-02-03,0,0,0,False
2019-02-10,0,0,0,False
2019-02-17,22,0,0,False
2019-02-24,30,0,0,False
2019-03-03,0,0,0,False
2019-03-10,0,0,0,False
2019-03-17,17,0,0,False
2019-03-24,0,0,0,False
2019-03-31,0,0,26,False
2019-04-07,0,0,23,False
2019-04-14,0,0,65,False
2019-04-21,0,0,19,False
2019-04-28,30,0,0,False
2019-05-05,20,0,0,False
2019-05-12,0,0,0,False
2019-05-19,36,0,22,False
2019-05-26,0,0,38,False
2019-06-02,32,0,39,False
2019-06-09,19,0,0,False
2019-06-16,26,0,0,False
2019-06-23,0,0,16,False
2019-06-30,0,0,28,False
2019-07-07,0,0,0,False
2019-07-14,0,0,0,False
2019-07-21,36,0,0,False
2019-07-28,20,0,36,False
2019-08-04,38,0,0,False
2019-08-11,0,0,29,False
2019-08-18,46,0,0,False
2019-08-25,0,0,23,False
2019-09-01,0,0,14,False
2019-09-08,0,0,0,False
2019-09-15,62,0,18,False
2019-09-22,0,0,0,False
2019-09-29,0,0,0,False
2019-10-06,0,0,0,False
2019-10-13,0,0,0,False
2019-10-20,0,0,0,False
2019-10-27,0,0,15,False
2019-11-03,28,0,71,False
2019-11-10,0,0,0,False
2019-11-17,16,0,0,False
2019-11-24,0,0,0,False
2019-12-01,81,0,0,False
2019-12-08,28,0,0,False
2019-12-15,67,0,0,False
2019-12-22,0,0,0,False
2019-12-29,15,0,0,False
2020-01-05,0,0,0,False
2020-01-12,31,0,0,False
2020-01-19,0,0,34,False
2020-01-26,0,0,0,False
2020-02-02,0,0,0,False
2020-02-09,32,0,18,False
2020-02-16,0,0,0,False
2020-02-23,0,0,0,False
2020-03-01,0,0,11,False
2020-03-08,0,0,11,False
2020-03-15,21,0,0,False
2020-03-22,0,0,0,False
2020-03-29,12,0,0,False
2020-04-05,26,0,13,False
2020-04-12,0,0,0,False
2020-04-19,0,0,0,False
2020-04-26,0,0,0,False
2020-05-03,17,0,0,False
2020-05-10,0,0,0,False
2020-05-17,17,0,18,False
2020-05-24,0,0,0,False
2020-05-31,45,0,28,False
2020-06-07,0,0,0,False
2020-06-14,65,0,0,False
2020-06-21,13,0,23,False
2020-06-28,12,0,0,False
2020-07-05,0,0,0,False
2020-07-12,21,0,12,False
2020-07-19,0,0,0,False
2020-07-26,0,0,0,False
2020-08-02,0,0,0,False
2020-08-09,0,0,0,False
2020-08-16,0,0,0,False
2020-08-23,0,0,0,False
2020-08-30,0,0,0,False
2020-09-06,22,0,29,False
2020-09-13,0,0,0,False
2020-09-20,0,0,33,False
2020-09-27,0,0,12,False
2020-10-04,0,0,0,False
2020-10-11,11,0,0,False
2020-10-18,0,0,0,False
2020-10-25,18,0,18,False
2020-11-01,0,0,0,False
2020-11-08,0,0,13,False
2020-11-15,13,0,31,False
2020-11-22,0,0,0,False
2020-11-29,0,0,18,False
